merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed,possible_category_mismatch
Bestari Kasih,Food & Beverage,Sabah,0887526770,bestarikasih2@gmail.com,2026-04-08,jeffrey.lojuki@example-ops.test,A027,1,
The Selera Sdn Bhd,Health & Beauty,Sabah,0884504641,theselerasdn66@gmail.com,2026-02-12,jeffrey.lojuki@example-ops.test,A028,2,"""Selera"" means appetite or taste in Malay, which strongly suggests a food and beverage business rather than health and beauty."
Syarikat Mutiara Enterprise,Electronics & Repair,East Coast,092433024,syarikatmuti88@yahoo.com,2026-02-17,nurul.huda@example-ops.test,A029,1,
Harmoni Harapan Holdings,Fashion & Apparel,Sabah,0889393238,harmoniharap19@yahoo.com,2026-02-05,jeffrey.lojuki@example-ops.test,A032,1,The name suggests a holding company rather than a specific fashion or apparel business.
Maju Mutiara Trading,Professional Services,Central,0883834672,majumutiarat28@yahoo.com,2026-03-05,aishah.rahman@example-ops.test,A033,1,"""Trading"" strongly implies retail, wholesale, or general commerce rather than professional services."
The Harapan & Sons,Professional Services,Northern,041309599,theharapanso39@biz.test,2026-04-21,weiming.tan@example-ops.test,A035,1,
Harmoni Anugerah & Sons,Fashion & Apparel,Northern,0825085808,harmonianuge42@outlook.com,2026-03-01,weiming.tan@example-ops.test,A036,1,
Gerai Emas & Sons,Home & Living,Southern,074781139,geraiemasson51@biz.test,2026-03-21,devraj.pillai@example-ops.test,A037,1,"""Emas"" means gold in Malay, which indicates a jewelry business rather than Home & Living."
Bestari Bahagia Sdn Bhd,Grocery & Convenience,Sabah,0883257725,bestaribahag18@gmail.com,2026-02-01,jeffrey.lojuki@example-ops.test,A038,1,
Pusat Selera Trading,Electronics & Repair,Southern,072831105,pusatselerat13@outlook.com,2026-05-11,devraj.pillai@example-ops.test,A040,1,"""Pusat Selera"" translates to food court or dining center, which strongly suggests a food and beverage business rather than electronics."
Kedai Emas & Sons,Electronics & Repair,East Coast,092191421,kedaiemasson85@gmail.com,2026-01-10,nurul.huda@example-ops.test,A041,1,"""Kedai Emas"" translates to ""Gold Shop"" in Malay, which indicates a jewelry business rather than electronics."
Bestari Impian Enterprise,Food & Beverage,Sabah,0889380153,bestariimpia65@outlook.com,2026-02-10,jeffrey.lojuki@example-ops.test,A042,1,
Maju Mutiara,Health & Beauty,Northern,049579056,majumutiara70@gmail.com,2026-03-01,weiming.tan@example-ops.test,A043,2,
Sinar Lestari Trading,Food & Beverage,Southern,079050865,sinarlestari67@gmail.com,2026-05-07,devraj.pillai@example-ops.test,A044,1,
Gerai Kasih,Fashion & Apparel,East Coast,090109508,geraikasih55@gmail.com,2026-04-27,nurul.huda@example-ops.test,A045,2,
Syarikat Mutiara Sdn Bhd,Health & Beauty,Sabah,0882557461,syarikatmuti42@outlook.com,2026-01-19,jeffrey.lojuki@example-ops.test,A048,1,
Pusat Bahagia & Sons,Electronics & Repair,Southern,078677415,pusatbahagia55@gmail.com,2026-05-14,devraj.pillai@example-ops.test,A049,1,The name suggests a general trading or family business rather than a specialized electronics shop.
Gerai Cemerlang Enterprise,Food & Beverage,East Coast,091399311,geraicemerla81@gmail.com,2026-04-15,nurul.huda@example-ops.test,A051,1,
Harmoni Impian Enterprise,Home & Living,Sabah,0888926088,harmoniimpia80@gmail.com,2026-04-06,jeffrey.lojuki@example-ops.test,A052,1,
Harmoni Selera Enterprise,Health & Beauty,Sarawak,0824463960,harmoniseler40@yahoo.com,2026-04-26,margaret.anyi@example-ops.test,A053,1,"""Selera"" means taste or appetite in Malay, which strongly suggests a food and beverage business rather than health and beauty."
Gerai Bahagia,Home & Living,Sabah,0885579783,geraibahagia6@gmail.com,2026-04-13,jeffrey.lojuki@example-ops.test,A054,2,
Maju Cemerlang Trading,Food & Beverage,East Coast,095423001,majucemerlan1@outlook.com,2026-02-26,nurul.huda@example-ops.test,A055,1,
Maju Lestari Sdn Bhd,Grocery & Convenience,Northern,046494486,majulestaris38@yahoo.com,2026-02-07,weiming.tan@example-ops.test,A056,1,
Sinar Selera & Sons,Home & Living,Sabah,0881985722,sinarseleras95@gmail.com,2026-05-04,jeffrey.lojuki@example-ops.test,A057,1,"""Sinar Selera"" strongly implies a food and beverage business rather than Home & Living."
Warung Selera Resources,Home & Living,Southern,075270060,warungselera96@outlook.com,2026-03-19,devraj.pillai@example-ops.test,A061,1,"The term ""Warung"" strongly indicates an F&B establishment rather than Home & Living."
Kedai Selera Resources,Professional Services,Central,037306537,kedaiselerar87@outlook.com,2026-04-28,aishah.rahman@example-ops.test,A063,1,"The term ""Kedai Selera"" translates to appetite shop or eatery, which indicates a food and beverage business rather than professional services."
Warung Lestari & Sons,Health & Beauty,Sabah,0882907413,warunglestar71@biz.test,2026-04-14,jeffrey.lojuki@example-ops.test,A064,1,"The name implies a traditional food establishment or general trading, which does not align with health and beauty."
Kedai Kasih Holdings,Fashion & Apparel,Central,035007546,kedaikasihho12@gmail.com,2026-02-17,aishah.rahman@example-ops.test,A065,2,"The name contains ""Kedai"" (shop) which is generic, and ""Holdings"" which suggests a parent or investment company rather than a specific fashion retailer."
Sinar Damai Trading,Grocery & Convenience,Central,034018582,sinardamaitr31@biz.test,2026-02-12,aishah.rahman@example-ops.test,A067,1,
Pusat Selera,Professional Services,Central,0829086213,pusatselera33@outlook.com,2026-05-04,aishah.rahman@example-ops.test,B003,1,"""Pusat Selera"" translates to food court or appetite center, which indicates a food and beverage business rather than professional services."
Kedai Lestari,Electronics & Repair,Sarawak,0829536169,kedailestari13@yahoo.com,2026-05-25,margaret.anyi@example-ops.test,B004,1,"""Kedai Lestari"" translates to sustainable shop, which is too generic to confirm if it sells or repairs electronics."
Pusat Impian Holdings,Home & Living,Sabah,0881700345,pusatimpianh73@biz.test,2026-04-05,jeffrey.lojuki@example-ops.test,B005,2,
Gerai Lestari Holdings,Professional Services,Southern,075305517,gerailestari68@gmail.com,2026-02-01,devraj.pillai@example-ops.test,B006,1,"""Gerai"" translates to food stall, which suggests a food and beverage business rather than professional services."
Syarikat Lestari Sdn Bhd,Health & Beauty,Southern,079039025,syarikatlest91@outlook.com,2026-02-05,devraj.pillai@example-ops.test,B009,1,
Sinar Bahagia,Professional Services,Northern,040251488,sinarbahagia78@gmail.com,2026-03-04,weiming.tan@example-ops.test,B010,2,"""Sinar Bahagia"" translates to ""Happy Ray of Light"", which sounds more like a retail, trading, or general consumer business rather than Professional Services."
Kedai Anugerah Sdn Bhd,Health & Beauty,Southern,078450629,kedaianugera93@outlook.com,2026-02-27,devraj.pillai@example-ops.test,B011,1,
Pusat Anugerah Resources,Grocery & Convenience,Central,032689712,pusatanugera47@biz.test,2026-04-13,aishah.rahman@example-ops.test,B012,1,
Harmoni Gemilang Trading,Electronics & Repair,Sarawak,0828484667,harmonigemil26@biz.test,2026-03-18,margaret.anyi@example-ops.test,B013,1,"""Gemilang"" typically implies trading, general commerce, or wholesale rather than electronics repair."
Kedai Impian Sdn Bhd,Fashion & Apparel,Northern,049883114,kedaiimpians23@yahoo.com,2026-01-15,weiming.tan@example-ops.test,B014,1,
Harmoni Bahagia Enterprise,Electronics & Repair,Northern,044312256,harmonibahag15@outlook.com,2026-03-25,weiming.tan@example-ops.test,B016,1,
Sejahtera Anugerah Enterprise,Food & Beverage,Northern,040624441,sejahteraanu24@biz.test,2026-01-25,weiming.tan@example-ops.test,B021,1,
Restoran Jaya & Sons,Professional Services,East Coast,097239025,restoranjaya85@yahoo.com,2026-05-15,nurul.huda@example-ops.test,B022,2,"The merchant name indicates a restaurant, which does not match professional services."
Sejahtera Gemilang Resources,Health & Beauty,East Coast,096535011,sejahteragem30@gmail.com,2026-01-14,nurul.huda@example-ops.test,B024,1,
Pusat Gemilang Resources,Health & Beauty,East Coast,090484747,pusatgemilan3@gmail.com,2026-01-20,nurul.huda@example-ops.test,B026,1,
Harmoni Fajar Holdings,Food & Beverage,Sarawak,0827033736,harmonifajar24@gmail.com,2026-02-21,margaret.anyi@example-ops.test,B028,1,
Warung Kasih Resources,Electronics & Repair,Northern,047306742,warungkasihr21@outlook.com,2026-01-12,weiming.tan@example-ops.test,B032,2,"""Warung"" typically implies a food stall or eatery, which contradicts the electronics and repair category."
Maju Damai Sdn Bhd,Fashion & Apparel,Northern,041711977,majudamaisdn89@outlook.com,2026-04-28,weiming.tan@example-ops.test,B033,1,
Bestari Fajar Enterprise,Health & Beauty,Sabah,0889532296,bestarifajar99@yahoo.com,2026-02-09,jeffrey.lojuki@example-ops.test,B034,1,
Gerai Bahagia & Sons,Grocery & Convenience,Central,032747089,geraibahagia90@biz.test,2026-02-02,aishah.rahman@example-ops.test,B035,1,
Warung Anugerah,Health & Beauty,Sabah,0884363886,warunganuger83@outlook.com,2026-04-15,jeffrey.lojuki@example-ops.test,B036,2,"""Warung"" typically denotes a small food stall or eatery, which does not align with health and beauty."
Maju Bahagia,Professional Services,East Coast,090400441,majubahagia1@yahoo.com,2026-03-07,nurul.huda@example-ops.test,B038,1,
Kedai Cemerlang Enterprise,Food & Beverage,East Coast,097885798,kedaicemerla86@gmail.com,2026-05-07,nurul.huda@example-ops.test,B039,1,
Harmoni Anugerah Resources,Grocery & Convenience,Sarawak,0821758338,harmonianuge73@gmail.com,2026-02-05,margaret.anyi@example-ops.test,B040,1,
Warung Impian Trading,Grocery & Convenience,Sarawak,0826520764,warungimpian54@outlook.com,2026-05-23,margaret.anyi@example-ops.test,B043,2,
Sinar Mutiara Enterprise,Fashion & Apparel,Sarawak,0824291916,sinarmutiara31@gmail.com,2026-05-17,margaret.anyi@example-ops.test,B044,2,
Harmoni Selera Sdn Bhd,Home & Living,East Coast,094122687,harmoniseler10@gmail.com,2026-04-09,nurul.huda@example-ops.test,B045,1,"""Selera"" strongly implies a food and beverage business rather than Home & Living."
Sinar Fajar & Sons,Home & Living,Sarawak,0828640167,sinarfajarso53@outlook.com,2026-03-04,margaret.anyi@example-ops.test,B046,1,
Gerai Cemerlang Resources,Fashion & Apparel,East Coast,095469297,geraicemerla15@biz.test,2026-01-01,nurul.huda@example-ops.test,B047,1,
The Cemerlang Enterprise,Fashion & Apparel,East Coast,093566734,thecemerlang27@biz.test,2026-03-21,nurul.huda@example-ops.test,B048,1,
Restoran Fajar & Sons,Professional Services,Northern,045703755,restoranfaja56@outlook.com,2026-02-05,weiming.tan@example-ops.test,B049,1,"The merchant name indicates a restaurant, which does not match professional services."
Pusat Gemilang,Health & Beauty,East Coast,099511964,pusatgemilan37@outlook.com,2026-05-08,nurul.huda@example-ops.test,B050,1,
Sejahtera Harapan Holdings,Health & Beauty,Southern,078467062,sejahterahar3@biz.test,2026-02-15,devraj.pillai@example-ops.test,B051,1,
Kedai Damai Sdn Bhd,Fashion & Apparel,Southern,078768792,kedaidamaisd53@gmail.com,2026-05-03,devraj.pillai@example-ops.test,B052,1,
Gerai Anugerah & Sons,Professional Services,Sarawak,0825052580,geraianugera89@outlook.com,2026-03-10,margaret.anyi@example-ops.test,B053,1,"""Gerai"" indicates a food stall or retail shop, which does not match Professional Services."
The Mutiara Trading,Grocery & Convenience,Sarawak,0820043310,themutiaratr38@yahoo.com,2026-03-04,margaret.anyi@example-ops.test,B054,1,
Sejahtera Damai Enterprise,Health & Beauty,Central,035631734,sejahteradam72@gmail.com,2026-04-22,aishah.rahman@example-ops.test,B055,1,
Sejahtera Impian Resources,Food & Beverage,Sabah,0889608092,sejahteraimp54@outlook.com,2026-04-27,jeffrey.lojuki@example-ops.test,B056,1,
Harmoni Impian Enterprise,Electronics & Repair,Central,034325871,harmoniimpia36@biz.test,2026-03-10,aishah.rahman@example-ops.test,B057,1,The name sounds like a general trading or holding company rather than an electronics shop.
Maju Fajar,Electronics & Repair,Sabah,0885466374,majufajar23@yahoo.com,2026-04-18,jeffrey.lojuki@example-ops.test,B061,1,
Bestari Anugerah Sdn Bhd,Fashion & Apparel,Northern,043293882,bestarianuge93@biz.test,2026-01-27,weiming.tan@example-ops.test,B063,1,
Harmoni Damai Resources,Electronics & Repair,Northern,042780626,harmonidamai85@gmail.com,2026-05-24,weiming.tan@example-ops.test,B064,1,The name sounds like a general trading or holding company rather than an electronics store.
Kedai Damai Resources,Health & Beauty,Sabah,0886431283,kedaidamaire50@gmail.com,2026-05-17,jeffrey.lojuki@example-ops.test,C003,1,"The name ""Kedai Damai Resources"" is generic and could apply to various retail, trading, or service businesses outside of Health & Beauty."
Maju Gemilang Sdn Bhd,Health & Beauty,Sabah,0881533312,majugemilang54@gmail.com,2026-01-07,jeffrey.lojuki@example-ops.test,C005,1,
Gerai Impian Enterprise,Food & Beverage,Sabah,0885592492,geraiimpiane92@gmail.com,2026-03-27,jeffrey.lojuki@example-ops.test,C007,2,
The Bahagia Sdn Bhd,Food & Beverage,Central,0827982893,thebahagiasd91@gmail.com,2026-04-13,aishah.rahman@example-ops.test,C009,1,
Sejahtera Lestari Enterprise,Professional Services,Northern,047184437,sejahterales73@outlook.com,2026-05-14,weiming.tan@example-ops.test,C010,2,
Bestari Impian Resources,Fashion & Apparel,Southern,076555654,bestariimpia28@gmail.com,2026-03-28,devraj.pillai@example-ops.test,C011,1,
Harmoni Selera,Fashion & Apparel,Southern,075521589,harmoniseler16@yahoo.com,2026-04-08,devraj.pillai@example-ops.test,C012,1,"""Harmoni Selera"" translates to ""Harmony of Taste,"" which strongly suggests a food and beverage business rather than fashion and apparel."
Syarikat Harapan Sdn Bhd,Grocery & Convenience,Northern,044224455,syarikathara35@yahoo.com,2026-04-22,weiming.tan@example-ops.test,C013,1,
Bestari Kasih,Professional Services,Sarawak,0822834940,bestarikasih73@biz.test,2026-04-13,margaret.anyi@example-ops.test,C015,1,
Syarikat Anugerah Trading,Food & Beverage,Central,034339837,syarikatanug4@gmail.com,2026-01-10,aishah.rahman@example-ops.test,C016,1,
Syarikat Lestari Trading,Health & Beauty,Northern,042885363,syarikatlest69@outlook.com,2026-05-02,weiming.tan@example-ops.test,C017,1,
Syarikat Selera Holdings,Fashion & Apparel,East Coast,098046895,syarikatsele81@yahoo.com,2026-02-08,nurul.huda@example-ops.test,C018,1,"""Selera"" in Malay typically relates to appetite or food, which strongly suggests a food and beverage business rather than fashion."
Warung Cemerlang,Home & Living,Central,038811237,warungcemerl6@biz.test,2026-05-09,aishah.rahman@example-ops.test,C019,1,
Sejahtera Kasih Trading,Fashion & Apparel,Central,072921748,sejahterakas62@outlook.com,2026-03-12,aishah.rahman@example-ops.test,C020,1,
Sinar Gemilang,Fashion & Apparel,Northern,043800895,sinargemilan49@gmail.com,2026-04-14,weiming.tan@example-ops.test,C021,1,
Sinar Bahagia Holdings,Professional Services,Sarawak,0825506858,sinarbahagia59@biz.test,2026-04-06,margaret.anyi@example-ops.test,C022,1,
Harmoni Lestari Enterprise,Food & Beverage,Northern,045405729,harmonilesta21@outlook.com,2026-02-23,weiming.tan@example-ops.test,C024,1,
Gerai Harapan,Electronics & Repair,Northern,045385636,geraiharapan64@gmail.com,2026-01-20,weiming.tan@example-ops.test,C026,1,"""Gerai"" usually denotes a food stall, making it ambiguous whether they sell electronics or food."
Kedai Impian & Sons,Electronics & Repair,Sabah,0884748622,kedaiimpians9@yahoo.com,2026-03-21,jeffrey.lojuki@example-ops.test,C027,1,The merchant name implies a general store or trading business rather than electronics and repair.
Harmoni Anugerah Trading,Health & Beauty,Sabah,0880429000,harmonianuge61@outlook.com,2026-02-21,jeffrey.lojuki@example-ops.test,C029,1,
Harmoni Bahagia Sdn Bhd,Fashion & Apparel,Central,039731731,harmonibahag8@yahoo.com,2026-04-14,aishah.rahman@example-ops.test,C030,1,
Pusat Anugerah,Fashion & Apparel,Central,033841698,pusatanugera64@biz.test,2026-01-16,aishah.rahman@example-ops.test,C031,1,
Sejahtera Fajar Trading,Health & Beauty,Northern,046587479,sejahterafaj35@gmail.com,2026-05-24,weiming.tan@example-ops.test,C033,1,
Sinar Anugerah Trading,Health & Beauty,Sarawak,0822011219,sinaranugera12@gmail.com,2026-04-11,margaret.anyi@example-ops.test,C035,1,
Maju Selera Enterprise,Home & Living,Northern,049347505,majuseleraen90@gmail.com,2026-03-28,weiming.tan@example-ops.test,C037,2,"""Selera"" typically implies food and dining, which fits F&B rather than Home & Living."
Restoran Cemerlang Holdings,Home & Living,Central,038846251,restoranceme74@outlook.com,2026-01-08,aishah.rahman@example-ops.test,C041,1,"The merchant name contains ""Restoran"", indicating it belongs to the Food & Beverage category rather than Home & Living."
Restoran Mutiara Holdings,Health & Beauty,East Coast,090764006,restoranmuti72@yahoo.com,2026-04-15,nurul.huda@example-ops.test,C043,1,"The word ""Restoran"" indicates an F&B establishment, which conflicts with the Health & Beauty category."
Sinar Fajar Resources,Electronics & Repair,East Coast,099777694,sinarfajarre9@gmail.com,2026-01-20,nurul.huda@example-ops.test,C044,1,
Warung Bahagia Resources,Fashion & Apparel,Northern,043906714,warungbahagi92@outlook.com,2026-02-24,weiming.tan@example-ops.test,C045,1,"The term ""Warung"" typically indicates a food stall or eatery, which conflicts with fashion and apparel."
Warung Kasih Trading,Fashion & Apparel,Sabah,0882194478,warungkasiht50@outlook.com,2026-03-04,jeffrey.lojuki@example-ops.test,C046,1,
Harmoni Gemilang,Electronics & Repair,East Coast,091030216,harmonigemil95@biz.test,2026-04-20,nurul.huda@example-ops.test,C047,1,"The name ""Harmoni Gemilang"" means harmonious and glorious in Malay, which sounds like a general trading or holding company name rather than a specific electronics store."
Gerai Cemerlang Holdings,Food & Beverage,Northern,045010357,geraicemerla74@biz.test,2026-02-27,weiming.tan@example-ops.test,C048,2,
The Selera Enterprise,Home & Living,East Coast,092244216,theseleraent56@outlook.com,2026-05-07,nurul.huda@example-ops.test,C052,1,"""Selera"" typically implies food, dining, or a restaurant rather than home and living goods."
Bestari Gemilang Enterprise,Food & Beverage,East Coast,090541417,bestarigemil31@yahoo.com,2026-02-18,nurul.huda@example-ops.test,C053,1,
Gerai Impian Trading,Professional Services,Central,037176989,geraiimpiant79@outlook.com,2026-05-24,aishah.rahman@example-ops.test,C054,1,"""Gerai"" translates to stall, which typically indicates retail, food, or sundry trade rather than professional services."
Gerai Selera Enterprise,Home & Living,Sabah,0887687530,geraiselerae49@outlook.com,2026-01-16,jeffrey.lojuki@example-ops.test,C056,1,"The term ""Gerai Selera"" strongly implies a food stall or eatery, which does not fit the ""Home & Living"" category."
Gerai Lestari Holdings,Grocery & Convenience,Northern,049548583,gerailestari61@yahoo.com,2026-02-01,weiming.tan@example-ops.test,C057,1,
Warung Cemerlang Holdings,Grocery & Convenience,Central,035738555,warungcemerl50@biz.test,2026-03-28,aishah.rahman@example-ops.test,C058,1,
Syarikat Impian Sdn Bhd,Grocery & Convenience,Central,039222755,syarikatimpi29@outlook.com,2026-05-26,aishah.rahman@example-ops.test,C059,1,
Bestari Jaya & Sons,Food & Beverage,Southern,072330278,bestarijayas75@biz.test,2026-05-07,devraj.pillai@example-ops.test,C060,1,
