submission_id,source_file,merchant_name,region,region_pic_email,rejection_reasons
C001,submissions_partnerC.csv,syarikat harapan & sons,Southern,devraj.pillai@example-ops.test,Invalid email format: 'two@@at.com'
C002,submissions_partnerC.csv,the damai resources,Sabah,jeffrey.lojuki@example-ops.test,Phone has fewer than 9 digits after normalising: '012345'; Merchant already onboarded (matched by id or name)
C006,submissions_partnerC.csv,Pusat Cemerlang Trading,Sabah,jeffrey.lojuki@example-ops.test,Invalid email format: '@nodomain.com'
C014,submissions_partnerC.csv,Sinar Emas Holdings,Central,aishah.rahman@example-ops.test,Could not map business category 'other' to any canonical category
C023,submissions_partnerC.csv,,Central,aishah.rahman@example-ops.test,Missing required field(s): merchant_name
C025,submissions_partnerC.csv,PUSAT FAJAR & SONS,Sabah,jeffrey.lojuki@example-ops.test,Phone has fewer than 9 digits after normalising: '012345'
C028,submissions_partnerC.csv,,Sarawak,margaret.anyi@example-ops.test,Missing required field(s): merchant_name
C032,submissions_partnerC.csv,the anugerah & sons,Southern,devraj.pillai@example-ops.test,Invalid email format: 'two@@at.com'
C034,submissions_partnerC.csv,maju fajar holdings,Sabah,jeffrey.lojuki@example-ops.test,Invalid email format: 'not-an-email'
C036,submissions_partnerC.csv,the jaya,West,,Invalid region: 'West'
C038,submissions_partnerC.csv,Maju Impian,Southern,devraj.pillai@example-ops.test,Merchant already onboarded (matched by id or name)
C039,submissions_partnerC.csv,RESTORAN ANUGERAH & SONS,Central,aishah.rahman@example-ops.test,Phone has fewer than 9 digits after normalising: '012345'
C040,submissions_partnerC.csv,Gerai Emas Sdn Bhd,Central,aishah.rahman@example-ops.test,Could not map business category 'other' to any canonical category; Merchant already onboarded (matched by id or name)
C049,submissions_partnerC.csv,RESTORAN SELERA HOLDINGS,East Coast,nurul.huda@example-ops.test,Phone has fewer than 9 digits after normalising: '012345'
C050,submissions_partnerC.csv,sejahtera kasih enterprise,Sabah,jeffrey.lojuki@example-ops.test,Could not map business category 'general trading sdn bhd' to any canonical category
C051,submissions_partnerC.csv,Syarikat Impian Holdings,Central,aishah.rahman@example-ops.test,Missing required field(s): contact_email
